m-3AAr: e-9999 
m-5AAr: e-6 
m-4AC: o-9 
m-6AA: o-13 
m26AG: e1 e60 
m7AEr: e5 o-45 
m-21AF: e11 e42 
R-5m-10AG: e15 o-9 
m-11AD: e23 e-9999 
m-10ABr: e35 o-4 
m-3AD: e35 e-17 
m-18AC: e36 e22 
m-33ACr: e9999 e17 o37 
m-12AFr: e9999 e29 e0 
m2ABr: e9999 e58 e39 
m8AA: e1 e23 e8 
m0ABr: e1 e23 o11 
m15AD: e1 e38 e26 
R12m26AG: o1 o39 o12 
L15m26AG: e1 e56 e-30 
m-13AAr: e4 e9999 e20 
m-8AA: e4 e9999 e24 
m-13AD: e5 o-17 e-28 
R-9m7AEr: e5 e-30 o4 
R-8m7AEr: e5 e-32 e15 
L-17m7AEr: e5 e-38 e7 
L-1m7AEr: e5 e-50 e-51 
m6AE: o-7 o-11 e-8 
m0AA: o-7 o-11 o-13 
m2AC: o-7 o-29 o-53 
m-2ABr: e15 e2 e9999 
m-7AF: e15 e2 e5 
m-7ACr: e15 e2 o1 
L-12m2AC: o19 o32 e26 
L-41m-20ABr: e19 e33 e55 
m-16AC: e19 e33 e-5 
m9AAr: e19 o29 o14 
m-5AB: e19 o29 o38 
L-25m-2AC: e19 o33 o-29 
L-25m10AFr: e19 o33 o-33 
L-25m-6AA: e19 o33 o-45 
L-25m6AFr: e19 o33 e-54 
m-13ACr: e23 e13 e9999 
m-21AAr: e23 e26 o-15 
m-1AD: e24 e24 e13 
m2AA: e24 e24 o-6 
m-14AG: e26 e-9999 e4 
m-20AA: e26 e-26 e15 
m-18ADr: e26 e36 e28 
m-23AEr: e26 e36 e35 
m-12ABr: e26 e36 e56 
m-10AC: e29 e19 e4 
m-3AF: e29 e19 e-4 
m-12ADr: e29 e23 e9 
m-8ABr: e29 e28 e9999 
m-6AC: e29 o2 o7 
R-8m-6AC: e29 o-14 o-39 
m-2AE: e29 e-25 e33 
m-4AA: e32 e8 e15 
m4AE: e33 o32 e21 
m3AF: e33 o32 e23 
m9AGr: e35 e-2 e-16 
R-4m-6ADr: o35 e-3 o-5 
m6AG: e35 o-3 o17 
L-14m-4AC: o35 e-8 e-17 
m-16AG: e35 o-12 e9999 
m1AF: e36 e30 e1 
m-5AF: e38 e-9999 o0 
m26ABr: e1 e32 o2 e38 
L8m26AG: e1 e32 e-33 e0 
R-6m26AG: e1 e32 e-51 e-8 
L13m26AG: o1 o38 o32 o12 
m8ABr: e1 e38 o0 o-47 
R5m26AG: e1 e39 e0 o12 
L1m26AG: o1 o39 e-3 e8 
L9m26AG: o1 o44 o-8 o-46 
m21AF: e1 e45 o-17 e17 
m25AD: e1 e45 o-25 e-9999 
m5AEr: e1 e45 e33 e1 
m13AD: e1 e45 o-55 e9999 
m13AAr: e1 e45 o-55 e3 
m29AAr: e1 e58 e37 e45 
m-7AD: e5 o-11 e5 o7 
R-6m7AEr: e5 o-11 e9 e20 
R-4m7AEr: e5 o-11 e15 e9999 
R-5m7AEr: e5 o-13 e7 o18 
m-15AGr: e5 o-17 e-32 e-22 
R-12m7AEr: o5 e-17 o-3 o0 
L-8m7AEr: o5 e-23 e-13 o17 
m-14ABr: e5 e-26 o-22 e-20 
L-26m7AEr: e5 e-30 e47 e7 
L-14m7AEr: o5 o-30 e8 o32 
R-17m7AEr: e5 e-30 o21 o-21 
R-18m7AEr: e5 e-30 o36 e1 
m-6ADr: e5 e-32 e-23 o3 
m8AE: e5 o-33 o22 e0 
R-7m8AE: e5 o-33 o24 e26 
m-21ACr: e5 e-34 e-49 o25 
R-14m7AEr: e5 e-36 e9999 o-30 
L-17m8ABr: e5 e-38 o-44 e22 
L-22m7AEr: o5 o-44 o-12 o-43 
m-6AFr: e5 e-46 e-9999 e-40 
L-10m7AEr: o5 o-46 o-57 o4 
m0ADr: e5 e-52 o-9999 o-9 
R-27m7AEr: o5 o-52 o-7 o31 
m-23AAr: e5 o-53 o-34 e2 
m-20AC: e5 o-53 o-34 e-4 
m-3AGr: e5 o-57 o-14 e-24 
m6ADr: e5 e-58 o39 o-9999 
m-4AFr: e5 e-58 o-44 e9999 
L-25m7AEr: e5 o-59 e-31 e-14 
m-5AD: o-7 o-5 e9999 o60 
m1AEr: o-7 o-5 e-6 o-15 
m-3ACr: o-7 o-5 e-6 e38 
m-4ABr: o-7 o-11 e-9999 e-6 
m9AEr: o-7 o-11 e-2 o-9999 
L-6m9AEr: e-7 e-11 o-2 e-26 
m13AEr: o-7 o-11 o-5 e-9999 
L-2m13AEr: o-7 o-11 o-5 e-26 
m-1ACr: o-7 e-16 o23 e9999 
m-30AC: o-7 e-28 e-9999 e22 
m-45ACr: o-7 e-28 e17 o37 
m-24AFr: o-7 e-28 e29 e0 
R-8m-15AAr: e-7 e-29 o3 e16 
m1ACr: o-7 o-29 e8 o-1 
m-15AEr: o-7 o-29 e11 e38 
m-15AAr: o-7 o-29 o-19 e20 
m-10AA: o-7 o-29 o-19 e24 
m-11AF: o-7 o-29 e-5 o-3 
m4AG: o-7 e-42 e6 o10 
m0AE: e10 e21 e0 e15 
L-24m0AE: o10 o21 o0 o32 
m-8AG: e10 e33 o-1 e32 
m-32AC: e10 e42 e21 e7 
m-17AEr: e11 e-9999 e-2 o-45 
m-22ADr: e11 e-9999 o42 o10 
m-7AB: e11 e23 o-1 e-10 
R-19m-6AC: e11 e23 o-47 e0 
m-16AA: e11 e23 e-41 e18 
m8AFr: e11 e38 e9 o21 
m-22ABr: e11 e56 e31 e9999 
m-30ABr: e11 e56 e60 e0 
R-6m3AD: o11 o60 o38 e-9 
m2AG: e11 o4 e4 e9999 
m-9ACr: e11 o32 o-13 e0 
m-22AA: e11 o32 e24 o-8 
m-5ACr: e11 o32 e28 e-9999 
m-19AEr: e11 o32 e32 e-6 
m-13AGr: e11 o32 e34 e-30 
m-16AFr: e11 o32 e55 o-1 
m-38ADr: e11 o56 e24 e9999 
L-11m6ADr: e15 e9999 o-1 e31 
L-8m-15ACr: e15 e9999 e5 e21 
m-15ACr: e15 e9999 e-32 e7 
m-17ACr: e15 e9999 e35 e-18 
m-9AAr: e15 e2 e0 o-7 
R-17m-2AE: e15 e2 o-1 e26 
m-11AAr: e15 e2 e4 e9999 
m-13AB: e15 e2 e18 e1 
m-15AB: e15 e2 o-2 e-20 
m-18ABr: e15 e2 o-2 o-21 
m-18AG: e15 e2 o-2 e-36 
m-18AA: e15 e3 o-19 e0 
m-19AB: e15 e3 o-19 e2 
m-26ABr: e15 e3 o-19 e28 
m-14AC: e15 o-3 e4 e-9999 
m12ADr: e15 o-3 e-16 e10 
m4AFr: e15 o-3 e35 e0 
R-15m6ABr: e15 o-3 e55 e9999 
L-14m6ABr: e15 o-3 e55 e31 
m-9AB: e15 o-3 e57 o-23 
m-5AEr: e15 e-4 e-12 o14 
L-20m-5ACr: e15 e6 e9999 e9999 
m-10AE: e15 e6 e13 o13 
R-22m1ACr: e15 e6 e-14 e-4 
L-8m-12AFr: o15 o8 e-33 e-39 
m-23AD: e15 e8 o-51 e-19 
m-4AE: e15 e-8 o-9999 o-1 
m-8AC: e15 e-8 o-9999 e-27 
m4ABr: e15 e-8 e11 e1 
m-19ACr: e15 e-8 e12 o-46 
m3AEr: e15 e10 e7 e49 
L-20m6ADr: e15 e10 e-8 e31 
R-18m-17AB: e15 e10 e11 e-9999 
R-8m2AE: e15 e10 e39 e6 
R-8m15AAr: e15 e10 e39 e37 
L-4m11AEr: e15 e-16 o-3 e-26 
m2AE: e15 e-16 o-9 o36 
R-17m1ACr: o15 o-16 e22 o15 
R4m-8AE: o15 o-18 e9999 e-21 
m3AB: e15 e-18 e9 e-17 
m-13AEr: e15 e-18 e25 o8 
m10AC: e15 e-18 o6 e8 
m-17AF: e15 e-22 e-26 e26 
m-17AB: e15 e-22 e-26 e-17 
m-10ADr: e15 e-28 e23 e-32 
m1AB: e15 o-43 e12 e2 
L-11m-4AE: e15 e-44 o-5 e37 
R-10m-3ACr: o15 e-57 o25 o-3 
m-4ADr: e15 o-57 e27 e-9999 
R2m-1AAr: e19 e-9999 e15 o0 
m-11AB: e19 e-9999 e29 e8 
L-19m-16ADr: o19 o-9999 e48 e11 
R8m-6AFr: o19 e-9999 o15 e26 
m-26AC: e19 e12 e48 e0 
m7AAr: e19 e15 e9 o-1 
m5AD: e19 e15 o33 e9 
m5AAr: e19 e15 o42 e14 
m-15AD: e19 e15 o44 o-2 
R-13m-7AD: o19 o30 o-24 o0 
L-12m7AAr: o19 o32 o9 e-1 
L-12m-1AD: o19 o32 o9 o-8 
L-12m5AD: o19 o32 e33 o9 
L-12m-2ADr: o19 o32 e33 o40 
L-12m5ACr: o19 o32 e38 o9999 
L-12m1AB: o19 o32 e39 e-9999 
L-12m-3ACr: o19 o32 e39 o16 
L-12m3AB: o19 o32 e39 o30 
L-12m-8ABr: o19 o32 e39 e50 
L-12m-4AA: o19 o32 e42 o12 
L-12m5AAr: o19 o32 e42 o14 
L-12m-9AB: o19 o32 e42 o38 
L-12m-15AD: o19 o32 e44 e-2 
L-12m-4ABr: o19 o32 e45 e15 
L-12m-1AAr: o19 o32 e46 e7 
m-27AAr: e19 e33 o-9999 e45 
m-25AF: e19 e33 o-5 e41 
L-31m-46ABr: o19 o33 o47 o20 
L-31m-49AB: o19 o33 o47 o21 
L-31m-38ADr: o19 o33 o47 o31 
L-31m-49AGr: o19 o33 o47 o36 
m-47AD: e19 e33 e51 e24 
R-18m1AAr: o19 o38 o-18 o-9 
R-5m0AA: o19 o53 e5 e12 
R-5m9AAr: o19 o53 e5 e14 
R-5m-5AB: o19 o53 e5 e38 
m7ACr: e19 o29 e-9999 o8 
m16AE: e19 o29 e13 e-9999 
m3AAr: e19 o29 o2 e9999 
m-7AAr: e19 o29 o41 o-58 
m7AGr: e19 o29 o48 e-9999 
m2ADr: e19 o29 o53 e-33 
m10ADr: e19 o29 o56 e31 
m-1AGr: e19 o29 o56 e36 
L-25m6AC: e19 o33 o-27 e9999 
L-25m0ADr: e19 o33 e-42 e-9999 
L-25m-9AAr: e19 o33 e-44 o-57 
L-25m-14ABr: e19 o33 e-44 e-23 
L-8m-21AGr: o23 o8 e-1 o-20 
m-9AF: e23 e11 e3 e-9999 
L-10m-2AG: o23 o11 o8 o22 
m-12AC: e23 e13 o-3 e0 
m-22AFr: e23 e13 e-16 e9999 
m-21AB: e23 e13 e-24 e-9999 
m-20AE: e23 e26 e7 o36 
m-25AB: e23 e31 e-20 e-9999 
m-28ABr: e23 e31 o-21 e9999 
m-26AG: e23 e31 o-35 e0 
m-31AF: e23 e31 e-36 e0 
L-6m-16AE: e23 e31 e45 o-59 
m-25AD: e23 e33 o-40 e-9999 
m-18AFr: e23 e35 e-9999 e0 
R-38m-13AB: e24 e11 o-19 e-33 
m-11AGr: e24 e12 o-9 e0 
m-29AF: e24 e13 o-3 e-15 
m-2AA: e24 e13 o-3 e-25 
m-14ADr: e24 e24 e9999 o-60 
R-2m-15ACr: o24 o24 o9 o-9999 
m14AC: e24 e24 o2 o-3 
m-19AGr: e24 e24 o-16 e21 
R3m7ACr: o24 o24 e-16 o30 
m8AG: e24 e24 e-31 e9999 
m-36AA: e24 e24 e-49 e34 
m-25AEr: e24 e24 e-49 e50 
m-29ACr: e26 e6 e0 o-7 
m-6AE: e26 e6 o-9 o-35 
L-4m8AFr: o26 o-6 e-11 o-6 
m-27AB: e26 e-12 e-21 o-34 
L7m-8AE: e26 o-13 e40 o-53 
L7m-12AE: e26 o-13 e40 o-57 
R-28m4AG: o26 e-31 o14 o-8 
R10m-28AC: e26 e32 e30 o9999 
R10m-23AAr: e26 e32 e30 e12 
R10m-36AC: e26 e32 e30 e39 
L-4m-23ACr: o26 e-33 e13 o5 
L-21m-14AG: o26 e-33 e19 o4 
R-11m-14AG: e26 o-33 o23 e4 
m-25AAr: e26 o-33 o39 o-1 
m-24AA: e26 o-33 o39 e15 
m-20ADr: e26 e34 e39 e1 
m-26ADr: e26 e34 e49 e1 
m10AG: e26 e36 e0 e29 
R-22m10AG: e26 e36 e3 o0 
R-26m-6ABr: o26 o36 o8 o-4 
m-13AF: e26 e36 e41 e-34 
L-25m10AG: o26 o36 o-46 o21 
m-42ABr: e26 e36 e47 e-22 
m7AF: e29 o-9999 o26 o-50 
m-19AD: e29 e-8 o-43 e36 
m9AB: e29 e14 o9999 e9999 
m-6ABr: e29 e18 o-2 e-42 
m-17AGr: e29 e19 e19 e29 
m-12AA: e29 e23 e8 e7 
m-29AEr: e29 e32 e9999 e-22 
L-9m-2AC: o29 o35 o5 o3 
m6AFr: e29 e51 e3 e0 
R10m3AF: e29 o2 o13 e-22 
m4AC: e29 o2 o13 e30 
R-11m16ADr: o29 o-3 e17 o-5 
m5AB: e29 e-3 o36 e-28 
R-8m-11AEr: e29 o-14 e-9999 o41 
R-8m-16AC: e29 o-14 e-9999 o43 
R-8m-18AA: e29 o-14 o-15 e-9999 
R-8m3AAr: e29 o-14 o1 e-55 
m-8ADr: e29 e-21 o6 e9999 
m-27AEr: e29 e-25 e58 e18 
m-26AE: e30 o13 e-20 o-11 
m-29AB: e30 o13 e-20 e36 
L-7m-2ADr: e32 e5 e3 e1 
m-20ABr: e32 e-6 e24 e9999 
L-20m-7AAr: e32 e8 e-9999 o49 
m9AF: e32 o-19 e9999 e4 
L-15m9AF: e32 o-19 e9999 e8 
m-9AEr: e32 e-20 e2 o-22 
m-24ADr: e32 e-22 o1 o-7 
m-32AA: e32 e-22 o1 e-22 
m-16AE: e32 e24 e20 e16 
m-21AEr: e32 e47 o4 o-60 
m-14AE: e32 e49 e-9999 e23 
m-8AE: e33 e60 e-8 o-22 
L-29m-5AB: o33 e32 o-6 o0 
R-21m3AF: e33 o32 e33 e9999 
R-39m3AF: e33 o32 e36 e-9999 
m-12AE: e34 e0 e-44 e-9999 
m11AB: e35 e-9999 o3 e-9999 
L-19m-17AF: e35 e-9999 o9 e49 
L-7m-10ABr: o35 o-9999 e48 o9999 
L-7m1AAr: o35 o-9999 e49 e-1 
L-7m-7AD: o35 o-9999 e49 o-8 
m0AFr: e35 e0 e42 o-4 
m5AGr: e35 e0 e44 o-3 
R-18m5AD: o35 o0 e0 o0 
m-2AG: e35 e0 o31 e-52 
m-14AFr: e35 e1 e21 e-34 
m-25ACr: e35 e1 o-21 o27 
m-6AG: e35 e1 e25 e3 
R-10m3AAr: e35 e1 e46 e-10 
R0m-14AC: e35 e1 o33 o-11 
R-13m-7AGr: e35 o-1 o-19 o9999 
R-13m-10AFr: e35 o-1 o-19 o-1 
R16m3AD: o35 e-1 e-27 o3 
R-5m-22ABr: e35 e-39 e-2 e24 
R-5m3ACr: e35 e-39 e3 e1 
R-5m3AAr: e35 o-48 e9999 e9999 
R-10m1AF: e36 e30 o-29 o0 
m-10AG: e36 e30 o-37 e27 
L-8m-14AC: o38 e0 e24 o9999 
m-15AF: e38 o0 o30 e54 
R-21m-2AG: o38 e0 e30 e5 
m-17AAr: e38 o0 o-42 o-1 
R-25m9AF: o9999 o9999 e-6 o-32 o38 
L-8m-21ACr: e9999 e0 e5 e2 e27 
L-8m-12AC: e9999 e0 e5 e2 e29 
R-7m12AC: o9999 o0 o5 e11 e17 
R-18m0AC: e9999 e1 e6 o35 o26 
L-8m2AG: o9999 o1 o14 o7 e-60 
R-20m-2AC: o9999 o1 o34 o-4 o-6 
R-20m3AEr: o9999 o1 o34 o-4 o15 
R-20m-4ABr: o9999 o1 o34 o-4 o41 
R-20m-2AA: o9999 o1 o34 o-4 o44 
R-5m-11AAr: e9999 e1 e37 e-2 e9999 
R-19m-1AB: e9999 e1 e47 o-34 o-9 
L-31m-1AB: o9999 o1 o48 o-46 e9999 
R-23m-1AB: e9999 e1 e56 o-12 e9999 
R-11m-1AB: e9999 e1 e57 o25 e9999 
R-15m-19ACr: e9999 e-2 o-1 o-9 e0 
R-15m-4ABr: e9999 e-2 o-1 e29 e-36 
R-15m-16AA: e9999 e-2 o-1 e31 o58 
R-15m-15AD: e9999 e-2 o-1 e31 o60 
R-15m-8AE: e9999 e-2 o-1 e41 o9999 
R-15m-6AC: e9999 e-2 o-1 e47 o-5 
R-15m-8ABr: e9999 e-2 o-1 e47 e6 
L8m-4ADr: e9999 o-3 o-5 e19 e-9999 
L14m-6AG: o9999 o5 o-44 o-19 o9999 
L-5m-31AF: e9999 e8 e0 e49 e-42 
L-5m-17AF: e9999 e8 e0 e49 o-55 
L-5m-18ABr: e9999 e8 e0 e49 o10 
L-5m-34AFr: e9999 e8 e0 e49 o22 
L-5m-29AD: e9999 e8 e0 e49 o-30 
R-17m-19AD: o9999 o17 e-9999 e21 o24 
R-33m2AA: o9999 o21 o-9999 o-9999 o0 
R-33m8AC: o9999 o21 o2 o-9999 o-27 
R-33m-2AFr: o9999 o21 o2 o-2 e11 
R-33m-3ACr: o9999 o21 o2 o8 o3 
R-33m-1AD: o9999 o21 o2 o8 e-30 
R-33m4ABr: o9999 o21 o2 o15 o9999 
R-33m4AC: o9999 o21 o2 o17 o9999 
R-33m11ACr: o9999 o21 o2 e4 o9999 
R-33m21AF: o9999 o21 o2 e4 o-26 
R-33m12AG: o9999 o21 o2 e13 o9999 
R-33m0AA: o9999 o21 o3 e-9999 e-12 
R-33m26AG: o9999 o21 e-3 o1 o60 
R-33m-19ACr: o9999 o21 e-3 o4 e9999 
R-33m2AC: o9999 o21 e-3 o4 o0 
R-33m2ABr: o9999 o21 e-3 o5 o21 
R-33m-18AC: o9999 o21 e-3 o8 e-41 
R-33m-8ABr: o9999 o21 e-3 o34 o9999 
R-33m-5AB: o9999 o21 e-3 o35 o-16 
R-33m-4AC: o9999 o21 o-4 o-9999 o0 
R-33m-7ACr: o9999 o21 o-4 o0 o11 
R-33m-10AFr: o9999 o21 e-5 o32 o22 
R-33m-14AE: o9999 o21 e-5 o32 o38 
R-33m-7AGr: o9999 o21 e-5 o32 o39 
R-33m-12AFr: o9999 o21 e-5 o34 e2 
R-33m0AC: o9999 o21 e-5 o42 o24 
R-33m1AD: o9999 o21 e-5 o47 o18 
R3m7AAr: e9999 e25 e-9999 e2 e2 
L-20m-6ADr: e9999 e25 e-9999 e55 e-9999 
L-22m2AC: o9999 o25 o29 o32 o9999 
L-25m1AB: e9999 e26 e-9999 e31 e-20 
L-25m-2ABr: e9999 e26 e-9999 e31 o-21 
L-25m9AD: e9999 e26 e-9999 e31 o-31 
L-25m-2AG: e9999 e26 e-9999 e31 e-36 
L-25m-22AC: e9999 e26 e0 e0 e-9999 
L-25m-8AG: e9999 e26 e0 o-15 o19 
L-25m3ACr: e9999 e26 e0 e-29 o17 
R-39m-19ACr: o9999 o30 e17 o-32 o21 
L-4m3AGr: o9999 o30 e24 e32 o16 
L6m-26AFr: e9999 e42 o-9 e33 e22 
L-26m-17AD: e9999 e42 e-1 e9999 e0 
L-32m-17AF: o9999 o44 o8 e-16 o25 
L-32m-3AD: o9999 o44 o26 o9999 e10 
L-32m-11AD: o9999 o44 o26 o37 e9999 
L-32m2AE: o9999 o44 o26 o37 e41 
L-32m-9ACr: o9999 o44 o26 e42 o18 
L-32m-38ADr: o9999 o44 o42 e-1 o0 
L-32m-40ADr: o9999 o44 o42 o6 o0 
R-18m-1ACr: e9999 e46 e26 e2 e-9999 
L-7m-12ADr: e9999 e46 o46 e9999 e-2 
L-7m-32AG: e9999 e46 o46 e0 e-11 
R-20m-1AF: o9999 o58 e-1 o9999 o5 
R-20m-8AFr: o9999 o58 e-1 e-12 e-6 
R-20m-3AEr: o9999 o58 e-1 e-12 o-27 
R-20m9AB: o9999 o58 e-1 o-17 o1 
R-20m2ADr: o9999 o58 e-1 o-51 o11 
R-21m-10AA: o9999 o58 o36 o18 o18 
R-1m9AD: o9999 o58 o36 o52 o3 
R-3m-10AA: e9999 e58 e40 e-24 o6 
L-24m-6ABr: o9999 o58 e11 o58 o9999 
L2m-1AAr: e1 e15 e8 e49 e13 
L2m4AA: e1 e15 e8 e49 e-19 
L2m18AG: e1 e23 e9 e9 o-9999 
L2m15AF: e1 e23 e9 e9 e1 
R4m20ABr: e1 e28 e6 e23 o-3 
L13m9AEr: o1 o28 o7 e22 o-9999 
L13m-7AD: o1 o28 o7 e55 e-45 
L13m-9AB: o1 o28 o7 e55 o-48 
R2m5ACr: o1 o28 o34 o9999 o7 
R2m8AE: o1 o28 o34 o-9999 o-9999 
R2m0AC: o1 o28 o34 o2 o58 
R2m2ABr: o1 o28 o34 o4 o59 
L18m26AE: o1 o31 o9999 o54 o21 
R13m26AG: o1 o31 o1 e32 e9999 
R13m23AF: o1 o31 o1 e42 o0 
L11m26AG: o1 o31 e-1 o-20 o9999 
L11m23AF: o1 o31 e-1 o-20 o0 
L-4m26AG: o1 o31 o-16 o-5 e-1 
R19m26AG: e1 e31 o-19 e11 e-32 
L-8m26AG: o1 o31 e-27 o32 o-3 
R-2m26AG: o1 o31 o-40 o0 e-5 
L-6m26AG: e1 e31 e-40 e-17 e9999 
R1m-12AC: o1 o31 e8 o1 o7 
R1m-14ADr: o1 o31 e8 e-7 e-24 
R1m-3AB: o1 o31 e8 e-11 e-9999 
R1m-4AC: o1 o31 e8 e-11 o-11 
R1m-11ACr: o1 o31 e8 e13 o0 
R1m-5AD: o1 o31 e8 e13 e0 
R1m-9AF: o1 o31 e8 e29 o-9999 
R0m26AG: o1 o31 o-13 o35 o5 
L-9m26AG: e1 e31 o49 e5 e18 
R-13m26AG: e1 e31 o-54 o31 e31 
L9m-11AD: o1 o32 o-7 o10 o24 
L9m15AAr: o1 o32 o-7 e-29 e-19 
R6m26AG: e1 e32 o-20 e33 e9999 
R7m26AG: o1 o32 o-21 o-9999 e-1 
L-10m5AEr: o1 o32 e-22 e15 o-9999 
R25m6AE: o1 o32 o-27 o-32 o21 
L8m23AF: e1 e32 e-33 e9999 e0 
L8m28AG: e1 e32 e-33 o-5 e0 
L8m17AD: e1 e32 e-33 o-5 e-6 
L8m19AEr: e1 e32 e-33 e-22 e43 
R4m26AG: e1 e33 o-7 e19 e-9999 
R4m23AF: e1 e33 o-7 e19 e0 
L2m26AG: e1 e33 e-8 o-19 e-9999 
L2m23AF: e1 e33 e-8 o-19 e0 
L5m26AG: o1 o33 o-12 o15 o9999 
R-1m26AG: o1 o33 o22 e-43 o0 
L7m26AG: e1 e33 o-4 o-7 e-52 
R-15m26AG: o1 o38 e-9999 o-46 o-36 
L-3m26AG: e1 e38 o-9999 o0 o19 
L13m23AF: o1 o38 o32 e-5 o0 
L10m26AG: e1 e38 e33 o24 o-40 
L11m21AF: e1 e38 o0 e-58 e9999 
L6m26AG: o1 o39 o7 e-9999 o0 
L6m23AF: o1 o39 o7 o1 o0 
L-7m26AG: o1 o43 o-2 e9 o-9999 
L-7m23AF: o1 o43 o-2 e9 o0 
L-17m26AG: o1 o43 e-9 o-56 o0 
L-11m26AG: o1 o44 o0 o-46 o2 
L4m26AG: e1 e44 o-3 o-9 e-9999 
L4m23AF: e1 e44 o-3 o-9 e0 
L-4m23AF: e1 e44 e-14 e0 e0 
R-3m26AG: e1 e44 e-19 o9999 e9999 
R-4m10AC: o1 o45 o-8 o-10 o24 
L5m7AAr: e1 e45 e-8 e-13 e-52 
